Course Name,Section,Day,Time,Room,Instructor,Sheet
Multivariable Calculus,BCS-2B,Thursday,08:30 AM - 10:00 AM,C-7,Dr. Mazhar Hussain,FSC TT (Spring 2025)
Civics and Community Eng,BCS-2D,Thursday,10:00 AM - 11:30 AM,C-7,TBD,FSC TT (Spring 2025)
Multivariable Calculus,BSE-2A,Thursday,01:00 PM - 02:30 PM,C-7,Dr. Sidra Afzal (VF),FSC TT (Spring 2025)
Multivariable Calculus,BSE-2B,Thursday,02:30 PM - 04:00 PM,C-7,Dr. Sidra Afzal (VF),FSC TT (Spring 2025)
International Business,BDS-6A,Thursday,08:30 AM - 10:00 AM,C-13,Mr. Abid Sharif (VF),FSC TT (Spring 2025)
Expository Writing,BSE-2B,Thursday,10:00 AM - 11:30 AM,C-13,Atika,FSC TT (Spring 2025)
Psychology,BCS-4A,Thursday,02:30 PM - 04:00 PM,C-13,Ms Aisha Bano,FSC TT (Spring 2025)
Foreign Policy of Pakistan,BCS-4A,Thursday,04:00 PM - 05:30 PM,C-13,Dr Tahir Rashid,FSC TT (Spring 2025)
Mass Communication,BCS-8A,Thursday,08:30 AM - 10:00 AM,C-14,Dr Sapna Mumtaz (VF),FSC TT (Spring 2025)
Multivariable Calculus,BDS-2A,Thursday,10:00 AM - 11:30 AM,C-14,Mr. Muhammad Yaseen,FSC TT (Spring 2025)
Digital Logic Design,BDS-2B,Thursday,01:00 PM - 02:30 PM,C-14,Mr. Zummar Saad (VF),FSC TT (Spring 2025)
Digital Logic Design,BDS-2A,Thursday,02:30 PM - 04:00 PM,C-14,Mr. Zummar Saad (VF),FSC TT (Spring 2025)
Environmental Studies,BCS-8A,Thursday,04:00 PM - 05:30 PM,C-14,Dr. Saman Shahid,FSC TT (Spring 2025)
Multivariable Calculus,BDS-2B,Thursday,08:30 AM - 10:00 AM,D-2,Mr. Muhammad Yaseen,FSC TT (Spring 2025)
Expository Writing,BSE-2A,Thursday,10:00 AM - 11:30 AM,D-2,Razm ul Zafar,FSC TT (Spring 2025)
Civics and Community Eng,BCS-2A,Thursday,01:00 PM - 02:30 PM,D-2,TBD,FSC TT (Spring 2025)
Expository Writing Lab,BCS-2A1,Thursday,08:30 AM - 10:00 AM,English Lab-1,Ms. Mahnoor Ch.,FSC TT (Spring 2025)
Expository Writing Lab,BCS-2B1,Thursday,10:00 AM - 11:30 AM,English Lab-1,Ms. Mahnoor Ch.,FSC TT (Spring 2025)
Expository Writing Lab,BCS-2C1,Thursday,11:30 AM - 01:00 PM,English Lab-1,Ms. Mahnoor Ch.,FSC TT (Spring 2025)
Expository Writing Lab,BCS-2D1,Thursday,01:00 PM - 02:30 PM,English Lab-1,Ms. Maryam Junaid (VF),FSC TT (Spring 2025)
Expository Writing Lab,BSE-2A1,Thursday,02:30 PM - 04:00 PM,English Lab-1,Ms. Bisma Amjad (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2E1,Thursday,04:00 PM - 05:30 PM,English Lab-1,Ms. Rafia (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2A2,Thursday,08:30 AM - 10:00 AM,English Lab-2,Ms. Areeba Nadeem (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2B2,Thursday,10:00 AM - 11:30 AM,English Lab-2,Ms. Areeba Nadeem (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2C2,Thursday,11:30 AM - 01:00 PM,English Lab-2,Ms. Areeba Nadeem (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2D2,Thursday,01:00 PM - 02:30 PM,English Lab-2,Ms. Maryam Ahmad (VF),FSC TT (Spring 2025)
Expository Writing Lab,BSE-2A2,Thursday,02:30 PM - 04:00 PM,English Lab-2,Ms. Falaknaz Zia (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2E2,Thursday,04:00 PM - 05:30 PM,English Lab-2,Ms. Maryam Ahmad (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2G1,Thursday,08:30 AM - 10:00 AM,English Lab-3,Ms. Bisma Amjad (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2H1,Thursday,10:00 AM - 11:30 AM,English Lab-3,Ms. Bisma Amjad (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2J1,Thursday,11:30 AM - 01:00 PM,English Lab-3,Ms. Minahil Ramadan (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2K1,Thursday,01:00 PM - 02:30 PM,English Lab-3,Ms. Minahil Ramadan (VF),FSC TT (Spring 2025)
Expository Writing Lab,BSE-4B1,Thursday,02:30 PM - 04:00 PM,English Lab-3,Ms. Maha Hijab (VF),FSC TT (Spring 2025)
Expository Writing Lab,BSE-4A1,Thursday,04:00 PM - 05:30 PM,English Lab-3,Ms. Bisma Amjad (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2G2,Thursday,08:30 AM - 10:00 AM,English Lab-4,Ms. Rubab Arshad,FSC TT (Spring 2025)
Expository Writing Lab,BCS-2H2,Thursday,10:00 AM - 11:30 AM,English Lab-4,Ms. Rubab Arshad,FSC TT (Spring 2025)
Expository Writing Lab,BCS-2J2,Thursday,11:30 AM - 01:00 PM,English Lab-4,Ms. Halima Altaf (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2K2,Thursday,01:00 PM - 02:30 PM,English Lab-4,Ms. Halima Altaf (VF),FSC TT (Spring 2025)
Expository Writing Lab,BSE-4B2,Thursday,02:30 PM - 04:00 PM,English Lab-4,TBD,FSC TT (Spring 2025)
Expository Writing Lab,BSE-4A2,Thursday,04:00 PM - 05:30 PM,English Lab-4,TBD,FSC TT (Spring 2025)
Expository Writing Lab,BDS-2A1,Thursday,08:30 AM - 10:00 AM,English Lab-5,Ms. Nokhaiz Zahra,FSC TT (Spring 2025)
Expository Writing Lab,BDS-2B1,Thursday,10:00 AM - 11:30 AM,English Lab-5,Ms. Nokhaiz Zahra,FSC TT (Spring 2025)
Expository Writing Lab,BCS-2F1,Thursday,02:30 PM - 04:00 PM,English Lab-5,Ms. Rafia (VF),FSC TT (Spring 2025)
Expository Writing Lab,BSE-2B1,Thursday,04:00 PM - 05:30 PM,English Lab-5,Ms. Maha Hijab (VF),FSC TT (Spring 2025)
Expository Writing Lab,BDS-2A2,Thursday,08:30 AM - 10:00 AM,English Lab-6,Ms. Zakia Anwar (VF),FSC TT (Spring 2025)
Expository Writing Lab,BDS-2B2,Thursday,10:00 AM - 11:30 AM,English Lab-6,Ms. Zakia Anwar (VF),FSC TT (Spring 2025)
Expository Writing Lab,BCS-2F2,Thursday,02:30 PM - 04:00 PM,English Lab-6,Ms. Maryam Ahmad (VF),FSC TT (Spring 2025)
Expository Writing Lab,BSE-2B2,Thursday,04:00 PM - 05:30 PM,English Lab-6,Ms. Falaknaz Zia (VF),FSC TT (Spring 2025)
Operating Systems Lab,BCS-4F,Thursday,11:30 AM - 01:00 PM,Lab-2,TBD,FSC TT (Spring 2025)
Web Engineering Lab,BSE-6A,Thursday,02:30 PM - 04:00 PM,Lab-2,TBD,FSC TT (Spring 2025)
Operating Systems Lab,BCS-4B,Thursday,11:30 AM - 01:00 PM,Lab-4,TBD,FSC TT (Spring 2025)
Object Oriented Programming Lab,BDS-2A,Thursday,11:30 AM - 01:00 PM,Lab-6,TBD,FSC TT (Spring 2025)
Reserved For FSM,,Thursday,08:30 AM - 10:00 AM,Lab-8,TBD,FSC TT (Spring 2025)
Reserved For FSM,,Thursday,11:30 AM - 01:00 PM,Lab-8,TBD,FSC TT (Spring 2025)
Reserved For FSM,,Thursday,02:30 PM - 04:00 PM,Lab-8,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-4D,Thursday,11:30 AM - 01:00 PM,Lab-13,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-4E,Thursday,02:30 PM - 04:00 PM,Lab-13,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-4C,Thursday,11:30 AM - 01:00 PM,Lab-14,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-4A,Thursday,02:30 PM - 04:00 PM,Lab-14,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-4J,Thursday,11:30 AM - 01:00 PM,Lab-15,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-4K,Thursday,02:30 PM - 04:00 PM,Lab-15,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-4G,Thursday,11:30 AM - 01:00 PM,Lab-16,TBD,FSC TT (Spring 2025)
Object Oriented Programming Lab,BCS-2H,Thursday,02:30 PM - 04:00 PM,Lab-16,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2K1,Thursday,08:30 AM - 10:00 AM,Physics Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2B1,Thursday,11:30 AM - 01:00 PM,Physics Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2K2,Thursday,08:30 AM - 10:00 AM,Micro Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2B2,Thursday,11:30 AM - 01:00 PM,Micro Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design,BCS-2C,Thursday,11:30 AM - 01:00 PM,F-201,Mr. Waqar Baig,FSC TT (Spring 2025)
Formal Methods,BSE-6B,Thursday,02:30 PM - 04:00 PM,F-201,Dr. Wafa Basit,FSC TT (Spring 2025)
Applied Programming,MDS-2A,Thursday,05:30 PM - 07:00 PM,F-201,TBD,FSC TT (Spring 2025)
Blockchain & Crypto,BCS-8A,Thursday,10:00 AM - 11:30 AM,F-202,TBD,FSC TT (Spring 2025)
Blockchain & Crypto,BDS-8A,Thursday,02:30 PM - 04:00 PM,F-202,TBD,FSC TT (Spring 2025)
Deep Learning,MDS-2A,Friday,08:30 AM - 10:00 AM,F-205,Dr. Mubasher Baig,FSC TT (Spring 2025)
Parallel & Distributed Comp,BCS-6G,Friday,11:30 AM - 01:00 PM,F-205,TBD,FSC TT (Spring 2025)
Expository Writing,BSE-4A,Friday,02:30 PM - 04:00 PM,F-205,Faseeha Sherwani (VF),FSC TT (Spring 2025)
Research Methodology,MCS-2A,Friday,08:30 AM - 10:00 AM,F-206,TBD,FSC TT (Spring 2025)
Civics and Community Eng,BDS-4B,Friday,08:30 AM - 10:00 AM,C-2,TBD,FSC TT (Spring 2025)
Reserved for MS,MATH,Friday,02:30 PM - 04:00 PM,C-2,TBD,FSC TT (Spring 2025)
Civics and Community Eng,BDS-4C,Friday,10:00 AM - 11:30 AM,C-3,TBD,FSC TT (Spring 2025)
Expository Writing,BCS-2J,Friday,10:00 AM - 11:30 AM,C-4,Faseeha Sherwani (VF),FSC TT (Spring 2025)
Com. Org. & Assembly Lang. Lab,BCS-4A,Friday,08:30 AM - 10:00 AM,Lab-1,TBD,FSC TT (Spring 2025)
Com. Org. & Assembly Lang. Lab,BDS-4C,Friday,02:30 PM - 04:00 PM,Lab-1,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BDS-6A,Friday,08:30 AM - 10:00 AM,Lab-2,TBD,FSC TT (Spring 2025)
Programming Fundamentals Lab,BCS-2A,Friday,02:30 PM - 04:00 PM,Lab-2,Ms. Marwa Khan,FSC TT (Spring 2025)
Artificial Intelligence Lab,BDS-6C,Friday,08:30 AM - 10:00 AM,Lab-3,TBD,FSC TT (Spring 2025)
Com. Org. & Assembly Lang. Lab,BDS-4B,Friday,02:30 PM - 04:00 PM,Lab-3,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6J,Friday,08:30 AM - 10:00 AM,Lab-4,TBD,FSC TT (Spring 2025)
Com. Org. & Assembly Lang. Lab,BDS-4A,Friday,02:30 PM - 04:00 PM,Lab-4,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6A,Friday,08:30 AM - 10:00 AM,Lab-6,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6K,Friday,02:30 PM - 04:00 PM,Lab-6,TBD,FSC TT (Spring 2025)
Programming Fundamentals Lab,BDS-2A,Friday,08:30 AM - 10:00 AM,Lab-8,Mr. Waqas Manzoor,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6B,Friday,02:30 PM - 04:00 PM,Lab-8,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6D,Friday,08:30 AM - 10:00 AM,Lab-13,TBD,FSC TT (Spring 2025)
Object Oriented Programming Lab,BCS-2C,Friday,02:30 PM - 04:00 PM,Lab-13,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6E,Friday,08:30 AM - 10:00 AM,Lab-14,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6G,Friday,02:30 PM - 04:00 PM,Lab-14,TBD,FSC TT (Spring 2025)
Database Systems Lab,BSE-4A,Friday,10:00 AM - 11:30 AM,Lab-15,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BCS-6F,Friday,02:30 PM - 04:00 PM,Lab-15,TBD,FSC TT (Spring 2025)
Artificial Intelligence Lab,BDS-6B,Friday,08:30 AM - 10:00 AM,Lab-16,TBD,FSC TT (Spring 2025)
Data Mining Lab,BDS-6A,Friday,02:30 PM - 04:00 PM,Lab-16,TBD,FSC TT (Spring 2025)
Object Oriented Programming Lab,BDS-2B,Friday,08:30 AM - 10:00 AM,Lab-17,TBD,FSC TT (Spring 2025)
Data Mining Lab,BDS-6B,Friday,02:30 PM - 04:00 PM,Lab-17,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2C1,Friday,08:30 AM - 10:00 AM,Physics Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2E1,Friday,02:30 PM - 04:00 PM,Physics Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2E2,Friday,02:30 PM - 04:00 PM,Micro Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2C2,Friday,08:30 AM - 10:00 AM,Embedded Lab,TBD,FSC TT (Spring 2025)
Ethical Hacking Concepts and Practices,BCS-8A,Friday,08:30 AM - 10:00 AM,F-201,Mr. Ahmad Ali (VF),FSC TT (Spring 2025)
Ethical Hacking Concepts and Practices,BCS-8B,Friday,01:00 PM - 02:30 PM,F-201,Mr. Ahmad Ali (VF),FSC TT (Spring 2025)
Applied Physics,BCS-2A,Saturday,11:30 AM - 01:00 PM,F-202,Mr. Faizan Saleem (VF),FSC TT (Spring 2025)
Civics and Community Eng,BCS-2F,Saturday,11:30 AM - 01:00 PM,F-203,TBD,FSC TT (Spring 2025)
Data Structures Lab,BDS-4A,Saturday,08:30 AM - 10:00 AM,Lab-13,TBD,FSC TT (Spring 2025)
Database Systems Lab,BCS-6A,Saturday,11:30 AM - 01:00 PM,Lab-13,Ms. Seemab Ayub,FSC TT (Spring 2025)
Object Oriented Programming Lab,BCS-2A,Saturday,08:30 AM - 10:00 AM,Lab-14,TBD,FSC TT (Spring 2025)
Fund. of Big Data Analytics Lab,BDS-6A,Saturday,11:30 AM - 01:00 PM,Lab-14,TBD,FSC TT (Spring 2025)
Computer Networks Lab,BDS-8A,Saturday,08:30 AM - 10:00 AM,Lab-15,TBD,FSC TT (Spring 2025)
Operating Systems Lab,BCS-6A,Saturday,08:30 AM - 10:00 AM,Lab-16,Ms. Rakshan Imtiaz (New),FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2F1,Saturday,08:30 AM - 10:00 AM,Physics Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BDS-2A1,Saturday,11:30 AM - 01:00 PM,Physics Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2A1,Saturday,02:30 PM - 04:00 PM,Physics Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2F2,Saturday,08:30 AM - 10:00 AM,Micro Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BDS-2A2,Saturday,11:30 AM - 01:00 PM,Micro Lab,TBD,FSC TT (Spring 2025)
Digital Logic Design Lab,BCS-2A2,Saturday,02:30 PM - 04:00 PM,Micro Lab,TBD,FSC TT (Spring 2025)
